thisRow.t,notes,Feature Type,Feature Number,Morph Level,Key,Response Time,participant,session,date,expName,psychopyVersion,frameRate,
,,app,11,44,right,0.30067896842956543,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,11,left,0.24481511116027832,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,0.25467848777770996,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,left,0.28822898864746094,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,11,left,0.27184176445007324,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,left,0.29581284523010254,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,55,right,0.4082024097442627,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.23537755012512207,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,55,right,0.1980760097503662,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,0.25737571716308594,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.3215968608856201,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,11,left,0.28847670555114746,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,55,right,1.4568278789520264,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.28198671340942383,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,0.40248703956604004,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,55,right,0.3812990188598633,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.3229210376739502,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,0.31319427490234375,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.27940940856933594,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.2658114433288574,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,55,left,0.5153226852416992,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,1.0184547901153564,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,0.3250753879547119,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,0,left,0.25202131271362305,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,33,left,0.23694157600402832,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.2618589401245117,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.24006104469299316,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,11,left,0.25824570655822754,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.2357182502746582,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,0,left,0.24539780616760254,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.25505614280700684,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.3036513328552246,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,11,left,0.24613738059997559,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,left,0.39282989501953125,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
